kind,lang,source_token,source_query_text,qid,wikidata_label,wikidata_aliases_json,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
entity,gl,"""03R/21L""",03R/21L,,,[],03R/21L,03R/ 21L,03R/21L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,03R/21L,03R/21L,mt_vote,2026-03-05T13:03:31,,,,,en,en,en,03R/21L
entity,gl,"""04/22 'Oostbaan'""",04/22 'Oostbaan',,,[],"04/22 ""Oostbaan""",04/22 'Oostbaan',04/22 'Oostbaan',0.9,0.875,0.875,1.0,0.0,0.0,1.0,04/22 'Oostbaan',04/22 'Oostbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9911537766456604,1.0000001192092896,1.0000001192092896,madlad,nl,nl,nl,04/22_'Oostbaan'
entity,gl,"""0567-7920""",0567-7920,,,[],,,,0.9,,,,,,,,0567-7920,passthrough_number_symbols,2026-03-05T13:03:32,,,,,und,und,und,0567-7920
entity,gl,"""05L/23R""",05L/23R,,,[],05L/23R,05L/23R,05L/23R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,05L/23R,05L/23R,mt_vote,2026-03-05T13:03:33,,,,,en,en,en,05L/23R
entity,gl,"""06/24 'Kaagbaan'""",06/24 'Kaagbaan',,,[],"06/24 ""Kaagbaan""",06/24 'Kaagbaan',06/24 'Kaagbaan',0.9,0.875,0.875,1.0,0.0,0.0,1.0,06/24 'Kaagbaan',06/24 'Kaagbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9863139986991882,1.0,1.0,madlad,nl,nl,nl,06/24_'Kaagbaan'
entity,gl,"""07/25""",07/25,,,[],,,,0.9,,,,,,,,07/25,passthrough_number_symbols,2026-03-05T13:03:33,,,,,und,und,und,07/25
entity,gl,"""08/26""",08/26,,,[],,,,0.9,,,,,,,,08/26,passthrough_number_symbols,2026-03-05T13:03:33,,,,,und,und,und,08/26
entity,gl,"""09/27 'Buitenveldertbaan'""",09/27 'Buitenveldertbaan',,,[],"09/27 ""Buitenveldertbaan""","Consultado o 27-09-2010.  ""Astronomía"" (en inglés).",09/27 'Buitenveldertbaan',0.9,0.24,0.92,0.1867,0.0,1.0,0.0,09/27 'Buitenveldertbaan',09/27 'Buitenveldertbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9929040670394896,0.5736093521118164,1.0000001192092896,salamandra,nl,es,nl,09/27_'Buitenveldertbaan'
entity,gl,"""0965-2140""",0965-2140,,,[],,,,0.9,,,,,,,,0965-2140,passthrough_number_symbols,2026-03-05T13:03:35,,,,,und,und,und,0965-2140
entity,gl,"""09L/27R""",09L/27R,,,[],09L/27R,09L/27R,09L/27R,0.9,1.0,1.0,1.0,1.0,1.0,1.0,09L/27R,09L/27R,mt_vote,2026-03-05T13:03:35,,,,,en,en,en,09L/27R
entity,gl,"""09R/27L""",09R/27L,,,[],09R/27L,09R/ 27L,09R/27L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,09R/27L,09R/27L,mt_vote,2026-03-05T13:03:36,,,,,en,en,en,09R/27L
entity,gl,"""1-4-2 Nakadori""",1-4-2 Nakadori,,,[],1-4-2 Nakadori,1-4-2 Nakadori,1-4-2 Nakadori,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1-4-2 Nakadori,1-4-2 Nakadori,mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9999999403953552,0.9999999403953552,0.9999999403953552,nllb,es,es,es,1-4-2_Nakadori
entity,gl,"""1-4165-2060-0""",1-4165-2060-0,,,[],,,,0.9,,,,,,,,1-4165-2060-0,passthrough_number_symbols,2026-03-05T13:03:37,,,,,und,und,und,1-4165-2060-0
entity,gl,"""1-56947-301-3""",1-56947-301-3,,,[],,,,0.9,,,,,,,,1-56947-301-3,passthrough_number_symbols,2026-03-05T13:03:37,,,,,und,und,und,1-56947-301-3
entity,gl,"""1.337""",1.337,,,[],,,,0.9,,,,,,,,1.337,passthrough_number_symbols,2026-03-05T13:03:37,,,,,und,und,und,1.337
entity,gl,"""1.524""",1.524,,,[],,,,0.9,,,,,,,,1.524,passthrough_number_symbols,2026-03-05T13:03:37,,,,,und,und,und,1.524
entity,gl,"""1/19""",1/19,,,[],,,,0.9,,,,,,,,1/19,passthrough_number_symbols,2026-03-05T13:03:37,,,,,und,und,und,1/19
entity,gl,"""100305.0""(minutes)","""100305.0""(minutes)",,,[],"""100305.0"" (minutos)","""100305. 0"" (minutos)","""100305.0""(minutos)",0.9,0.9756,0.9744,0.95,1.0,1.0,1.0,"""100305.0"" (minutos)","""100305.0"" (minutos)",mt_vote,2026-03-05T13:03:38,,,,,en,en,en,"""100305.0""_(minutos)"
entity,gl,"""101 Ukrop Way""",101 Ukrop Way,,,[],101 Ukrop Way,101 Ukrop Way,101 Ukrop Way,0.9,1.0,1.0,1.0,1.0,1.0,1.0,101 Ukrop Way,101 Ukrop Way,mt_vote,2026-03-05T13:03:38,,,,,en,en,en,101_Ukrop_Way
entity,gl,"""1046-8188""",1046-8188,,,[],,,,0.9,,,,,,,,1046-8188,passthrough_number_symbols,2026-03-05T13:03:38,,,,,und,und,und,1046-8188
entity,gl,"""1080-6377""",1080-6377,,,[],,,,0.9,,,,,,,,1080-6377,passthrough_number_symbols,2026-03-05T13:03:38,,,,,und,und,und,1080-6377
entity,gl,"""10L/28R""",10L/28R,,,[],10L/28R,10L/ 28R,10L/28R,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,10L/28R,10L/28R,mt_vote,2026-03-05T13:03:39,,,,,en,en,en,10L/28R
entity,gl,"""10R/28L""",10R/28L,,,[],10R/28L,10R/ 28L,10R/28L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,10R/28L,10R/28L,mt_vote,2026-03-05T13:03:40,,,,,en,en,en,10R/28L
entity,gl,"""11/29""",11/29,,,[],,,,0.9,,,,,,,,11/29,passthrough_number_symbols,2026-03-05T13:03:40,,,,,und,und,und,11/29
entity,gl,"""110 million (dollars)""",110 million (dollars),,,[],110 millóns (dólares),110 millóns (dólares),110 millóns (dólares),0.9,1.0,1.0,1.0,1.0,1.0,1.0,110 millóns (dólares),110 millóns (dólares),mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9140264987945556,0.9140264987945556,0.9140264987945556,nllb,es,es,es,110_millóns_(dólares)
entity,gl,"""1174""",1174,,,[],,,,0.9,,,,,,,,1174,passthrough_number_symbols,2026-03-05T13:03:40,,,,,und,und,und,1174
entity,gl,"""12/30""",12/30,,,[],,,,0.9,,,,,,,,12/30,passthrough_number_symbols,2026-03-05T13:03:40,,,,,und,und,und,12/30
entity,gl,"""120 million (Australian dollars)""",120 million (Australian dollars),,,[],120 millóns (dólares australianos),120 millóns (dólares australianos),120 millóns (dólares australianos),0.9,1.0,1.0,1.0,1.0,1.0,1.0,120 millóns (dólares australianos),120 millóns (dólares australianos),mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.916633129119873,0.916633129119873,0.916633129119873,nllb,es,es,es,120_millóns_(dólares_australianos)
entity,gl,"""12L/30R""",12L/30R,,,[],12L/30R,12L/ 30R,12L/30R,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,12L/30R,12L/30R,mt_vote,2026-03-05T13:03:42,,,,,en,en,en,12L/30R
entity,gl,"""12R/30L""",12R/30L,,,[],12R/30L,12R/ 30L,12R/30L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,12R/30L,12R/30L,mt_vote,2026-03-05T13:03:43,,,,,en,en,en,12R/30L
entity,gl,"""13/31""",13/31,,,[],,,,0.9,,,,,,,,13/31,passthrough_number_symbols,2026-03-05T13:03:43,,,,,und,und,und,13/31
entity,gl,"""13017.0""(minutes)","""13017.0""(minutes)",,,[],"""13017.0"" (minutos)","""13017. 0"" (minutos)","""13017.0""(minutos)",0.9,0.9744,0.973,0.9474,1.0,1.0,1.0,"""13017.0"" (minutos)","""13017.0"" (minutos)",mt_vote,2026-03-05T13:03:43,,,,,en,en,en,"""13017.0""_(minutos)"
entity,gl,"""1360-0443""",1360-0443,,,[],,,,0.9,,,,,,,,1360-0443,passthrough_number_symbols,2026-03-05T13:03:43,,,,,und,und,und,1360-0443
entity,gl,"""14/32""",14/32,,,[],,,,0.9,,,,,,,,14/32,passthrough_number_symbols,2026-03-05T13:03:43,,,,,und,und,und,14/32
entity,gl,"""1473-5571""",1473-5571,,,[],,,,0.9,,,,,,,,1473-5571,passthrough_number_symbols,2026-03-05T13:03:43,,,,,und,und,und,1473-5571
entity,gl,"""14L/32R""",14L/32R,,,[],14L/32R,14L/ 32R,14L/32R,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,14L/32R,14L/32R,mt_vote,2026-03-05T13:03:44,,,,,en,en,en,14L/32R
entity,gl,"""14R/32L""",14R/32L,,,[],14R/32L,14R/ 32L,14R/32L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,14R/32L,14R/32L,mt_vote,2026-03-05T13:03:45,,,,,en,en,en,14R/32L
entity,gl,"""15/33""",15/33,,,[],,,,0.9,,,,,,,,15/33,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,15/33
entity,gl,"""1558-2868""",1558-2868,,,[],,,,0.9,,,,,,,,1558-2868,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,1558-2868
entity,gl,"""1588-2632""",1588-2632,,,[],,,,0.9,,,,,,,,1588-2632,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,1588-2632
entity,gl,"""16/34""",16/34,,,[],,,,0.9,,,,,,,,16/34,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,16/34
entity,gl,"""1700""",1700,,,[],,,,0.9,,,,,,,,1700,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,1700
entity,gl,"""1732-2421""",1732-2421,,,[],,,,0.9,,,,,,,,1732-2421,passthrough_number_symbols,2026-03-05T13:03:45,,,,,und,und,und,1732-2421
entity,gl,"""17L/35R""",17L/35R,,,[],17L/35R,17L/ 35R,17L/35R,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,17L/35R,17L/35R,mt_vote,2026-03-05T13:03:45,,,,,en,en,en,17L/35R
entity,gl,"""17R/35L""",17R/35L,,,[],17R/35L,17R/ 35L,17R/35L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,17R/35L,17R/35L,mt_vote,2026-03-05T13:03:46,,,,,en,en,en,17R/35L
entity,gl,"""1865-8784""",1865-8784,,,[],,,,0.9,,,,,,,,1865-8784,passthrough_number_symbols,2026-03-05T13:03:46,,,,,und,und,und,1865-8784
entity,gl,"""18C/36C 'Zwanenburgbaan'""",18C/36C 'Zwanenburgbaan',,,[],"18C/36C ""Zwanenburgbaan""",18C/36C 'Zwanenburgbaan',18C/36C 'Zwanenburgbaan',0.9,0.9167,0.9167,1.0,1.0,1.0,1.0,18C/36C 'Zwanenburgbaan',18C/36C 'Zwanenburgbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9958722591400146,0.9999999403953552,0.9999999403953552,madlad,nl,nl,nl,18C/36C_'Zwanenburgbaan'
entity,gl,"""18L/36R 'Aalsmeerbaan'""",18L/36R 'Aalsmeerbaan',,,[],"18L/36R ""Aalsmeerbaan""","18L/36R ""Aalsmeerbaan"" (en inglés).",18L/36R 'Aalsmeerbaan',0.9,0.7719,0.9091,0.7018,0.0,1.0,0.0,18L/36R 'Aalsmeerbaan',18L/36R 'Aalsmeerbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9963340163230896,0.9608278274536132,1.0,salamandra,nl,nl,nl,18L/36R_'Aalsmeerbaan'
entity,gl,"""18L/36R""",18L/36R,,,[],18L/36R,18L/ 36R,18L/36R,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,18L/36R,18L/36R,mt_vote,2026-03-05T13:03:49,,,,,en,en,en,18L/36R
entity,gl,"""18R/36L 'Polderbaan'""",18R/36L 'Polderbaan',,,[],"18R/36L ""Polderbaan""","18R/36L ""Polderbaan""",18R/36L 'Polderbaan',0.9,1.0,0.9,0.9,1.0,1.0,1.0,18R/36L 'Polderbaan',18R/36L 'Polderbaan',mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.997960925102234,0.997960925102234,1.000000238418579,salamandra,nl,nl,nl,18R/36L_'Polderbaan'
entity,gl,"""18R/36L""",18R/36L,,,[],18R/36L,18R/ 36L,18R/36L,0.9,0.9333,1.0,0.9333,1.0,1.0,1.0,18R/36L,18R/36L,mt_vote,2026-03-05T13:03:51,,,,,en,en,en,18R/36L
entity,gl,"""1907-07-11""",1907-07-11,,,[],,,,0.9,,,,,,,,1907-07-11,passthrough_number_symbols,2026-03-05T13:03:51,,,,,und,und,und,1907-07-11
entity,gl,"""1923 NZ1951 OB""",1923 NZ1951 OB,,,[],1923 NZ1951 OB,1923 NZ1951 OB,1923 NZ1951 OB,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1923 NZ1951 OB,1923 NZ1951 OB,mt_vote,2026-03-05T13:03:51,,,,,en,en,en,1923_NZ1951_OB
entity,gl,"""1923 OAA907 XC""",1923 OAA907 XC,,,[],1923 OAA907 XC,1923 OAA907 XCobject name (optional),1923 OAA907 XC,0.9,0.56,1.0,0.56,0.0,1.0,0.0,1923 OAA907 XC,1923 OAA907 XC,mt_vote,2026-03-05T13:03:52,,,,,en,en,en,1923_OAA907_XC
entity,gl,"""1923-11-18""",1923-11-18,,,[],,,,0.9,,,,,,,,1923-11-18,passthrough_number_symbols,2026-03-05T13:03:52,,,,,und,und,und,1923-11-18
entity,gl,"""1927""",1927,,,[],,,,0.9,,,,,,,,1927,passthrough_number_symbols,2026-03-05T13:03:52,,,,,und,und,und,1927
entity,gl,"""1927-07-23""",1927-07-23,,,[],,,,0.9,,,,,,,,1927-07-23,passthrough_number_symbols,2026-03-05T13:03:52,,,,,und,und,und,1927-07-23
entity,gl,"""1928 PC""",1928 PC,,,[],1928 PC,1928 PC,1928 PC,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1928 PC,1928 PC,mt_vote,2026-03-05T13:03:53,,,,,en,en,en,1928_PC
entity,gl,"""1928 RQ""",1928 RQ,,,[],1928 RQ,1928 RQ,1928 RQ,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1928 RQ,1928 RQ,mt_vote,2026-03-05T13:03:54,,,,,en,en,en,1928_RQ
entity,gl,"""1928 SJ""",1928 SJ,,,[],1928 SJ,1928 SJobject name (optional),1928 SJ,0.9,0.3889,1.0,0.3889,0.0,1.0,0.0,1928 SJ,1928 SJ,mt_vote,2026-03-05T13:03:55,,,,,en,en,en,1928_SJ
entity,gl,"""1930 ST; 1952 HE4""",1930 ST; 1952 HE4,,,[],1930 ST; 1952 HE4,1930 ST; 1952 HE4,1930 ST; 1952 HE4,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1930 ST; 1952 HE4,1930 ST; 1952 HE4,mt_vote,2026-03-05T13:03:56,,,,,en,en,en,1930_ST;_1952_HE4
entity,gl,"""1930-01-20""",1930-01-20,,,[],,,,0.9,,,,,,,,1930-01-20,passthrough_number_symbols,2026-03-05T13:03:56,,,,,und,und,und,1930-01-20
entity,gl,"""1932-03-15""",1932-03-15,,,[],,,,0.9,,,,,,,,1932-03-15,passthrough_number_symbols,2026-03-05T13:03:56,,,,,und,und,und,1932-03-15
entity,gl,"""1932-07-27""",1932-07-27,,,[],,,,0.9,,,,,,,,1932-07-27,passthrough_number_symbols,2026-03-05T13:03:56,,,,,und,und,und,1932-07-27
entity,gl,"""1933-10-17""",1933-10-17,,,[],,,,0.9,,,,,,,,1933-10-17,passthrough_number_symbols,2026-03-05T13:03:56,,,,,und,und,und,1933-10-17
entity,gl,"""1966-02-28""",1966-02-28,,,[],,,,0.9,,,,,,,,1966-02-28,passthrough_number_symbols,2026-03-05T13:03:56,,,,,und,und,und,1966-02-28
entity,gl,"""1967 ED""",1967 ED,,,[],1967 ED,1967 ED,1967 ED,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1967 ED,1967 ED,mt_vote,2026-03-05T13:03:57,,,,,en,en,en,1967_ED
entity,gl,"""1969-09-01""",1969-09-01,,,[],,,,0.9,,,,,,,,1969-09-01,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1969-09-01
entity,gl,"""1971-07-01""",1971-07-01,,,[],,,,0.9,,,,,,,,1971-07-01,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1971-07-01
entity,gl,"""1973""",1973,,,[],,,,0.9,,,,,,,,1973,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1973
entity,gl,"""1974-08-01""",1974-08-01,,,[],,,,0.9,,,,,,,,1974-08-01,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1974-08-01
entity,gl,"""1978""",1978,,,[],,,,0.9,,,,,,,,1978,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1978
entity,gl,"""1980-04-23""",1980-04-23,,,[],,,,0.9,,,,,,,,1980-04-23,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1980-04-23
entity,gl,"""1983-10-03""",1983-10-03,,,[],,,,0.9,,,,,,,,1983-10-03,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1983-10-03
entity,gl,"""1986-04-15""",1986-04-15,,,[],,,,0.9,,,,,,,,1986-04-15,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1986-04-15
entity,gl,"""1987-02-27""",1987-02-27,,,[],,,,0.9,,,,,,,,1987-02-27,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1987-02-27
entity,gl,"""1988-11-22""",1988-11-22,,,[],,,,0.9,,,,,,,,1988-11-22,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1988-11-22
entity,gl,"""1998-07-21""",1998-07-21,,,[],,,,0.9,,,,,,,,1998-07-21,passthrough_number_symbols,2026-03-05T13:03:57,,,,,und,und,und,1998-07-21
entity,gl,"""1999 SN5""",1999 SN5,,,[],1999 SN5,1999 SN5object name (optional),1999 SN5,0.9,0.4211,1.0,0.4211,0.0,1.0,0.0,1999 SN5,1999 SN5,mt_vote,2026-03-05T13:03:58,,,,,en,en,en,1999_SN5
entity,gl,"""2 × MTU 16V 2000 M60 engine""",2 × MTU 16V 2000 M60 engine,,,[],2 × motor MTU 16V 2000 M60,2 × motor MTU 16V 2000 M60,Motor 2 × MTU 16V 2000 M60,0.9,1.0,0.8462,0.8462,1.0,0.0,0.0,2 × motor MTU 16V 2000 M60,2 × motor MTU 16V 2000 M60,mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9320915341377258,0.9320915341377258,0.9347432851791382,nllb,lt,lt,lt,2_×_motor_MTU_16V_2000_M60
entity,gl,"""2""",2,,,[],,,,0.9,,,,,,,,2,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,2
entity,gl,"""2/20""",2/20,,,[],,,,0.9,,,,,,,,2/20,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,2/20
entity,gl,"""2009-10-02""",2009-10-02,,,[],,,,0.9,,,,,,,,2009-10-02,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,2009-10-02
entity,gl,"""2013-09-28""",2013-09-28,,,[],,,,0.9,,,,,,,,2013-09-28,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,2013-09-28
entity,gl,"""2158-3226""",2158-3226,,,[],,,,0.9,,,,,,,,2158-3226,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,2158-3226
entity,gl,"""233""",233,,,[],,,,0.9,,,,,,,,233,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,233
entity,gl,"""248""",248,,,[],,,,0.9,,,,,,,,248,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,248
entity,gl,"""292""",292,,,[],,,,0.9,,,,,,,,292,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,292
entity,gl,"""3-speed automatic""",3-speed automatic,,,[],Automático de 3 velocidades,Automático de 3 velocidades,Automática de 3 velocidades,0.9,1.0,0.963,0.963,1.0,1.0,1.0,Automático de 3 velocidades,Automático de 3 velocidades,mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.8796509504318237,0.8796509504318237,0.8701784610748291,nllb,pt,pt,es,Automático_de_3_velocidades
entity,gl,"""3/21""",3/21,,,[],,,,0.9,,,,,,,,3/21,passthrough_number_symbols,2026-03-05T13:03:59,,,,,und,und,und,3/21
entity,gl,"""30 March 2007""",30 March 2007,,,[],30 de marzo de 2007,30 de marzo de 2007.,30 de marzo de 2007,0.9,0.9744,1.0,0.9744,1.0,1.0,1.0,30 de marzo de 2007,30 de marzo de 2007,mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9334670305252076,0.9283827543258668,0.9334670305252076,nllb,es,es,es,30_de_marzo_de_2007
entity,gl,"""320""",320,,,[],,,,0.9,,,,,,,,320,passthrough_number_symbols,2026-03-05T13:04:01,,,,,und,und,und,320
entity,gl,"""360""",360,,,[],,,,0.9,,,,,,,,360,passthrough_number_symbols,2026-03-05T13:04:01,,,,,und,und,und,360
entity,gl,"""388""",388,,,[],,,,0.9,,,,,,,,388,passthrough_number_symbols,2026-03-05T13:04:01,,,,,und,und,und,388
entity,gl,"""39""",39,,,[],,,,0.9,,,,,,,,39,passthrough_number_symbols,2026-03-05T13:04:01,,,,,und,und,und,39
entity,gl,"""4-speed automatic (ZF 4HP18Q)""",4-speed automatic (ZF 4HP18Q),,,[],Automático de 4 velocidades (ZF 4HP18Q),Automática de 4 velocidades (ZF 4HP18Q),Automática de 4 velocidades (ZF 4HP18Q),0.9,0.9744,0.9744,1.0,1.0,1.0,1.0,Automático de 4 velocidades (ZF 4HP18Q),Automático de 4 velocidades (ZF 4HP18Q),mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9432849287986756,0.941528022289276,0.941528022289276,nllb,pt,es,es,Automático_de_4_velocidades_(ZF_4HP18Q)
entity,gl,"""4-speed automatic (ZF 4HP18QE)""",4-speed automatic (ZF 4HP18QE),,,[],Automático de 4 velocidades (ZF 4HP18QE),Automática de 4 velocidades (ZF 4HP18QE),Automática de 4 velocidades (ZF 4HP18QE),0.9,0.975,0.975,1.0,1.0,1.0,1.0,Automático de 4 velocidades (ZF 4HP18QE),Automático de 4 velocidades (ZF 4HP18QE),mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.9410359263420104,0.9383209943771362,0.9383209943771362,nllb,pt,es,es,Automático_de_4_velocidades_(ZF_4HP18QE)
entity,gl,"""4/22""",4/22,,,[],,,,0.9,,,,,,,,4/22,passthrough_number_symbols,2026-03-05T13:04:03,,,,,und,und,und,4/22
entity,gl,"""42 m""",42 m,,,[],42 m,42 m,42 m,0.9,1.0,1.0,1.0,1.0,1.0,1.0,42 m,42 m,mt_vote,2026-03-05T13:04:03,,,,,en,en,en,42_m
entity,gl,"""448""",448,,,[],,,,0.9,,,,,,,,448,passthrough_number_symbols,2026-03-05T13:04:03,,,,,und,und,und,448
entity,gl,"""5-speed manual""",5-speed manual,,,[],5 velocidades manuais,Manual de 5 velocidades,Manual de 5 velocidades,0.9,0.5909,0.5909,1.0,0.0,0.0,1.0,Manual de 5 velocidades,Manual de 5 velocidades,mt_vote_revoted_gte_langfilter,2026-03-09T10:17:53,0.8218917846679688,0.8809827566146851,0.8809827566146851,madlad,pt,pt,pt,Manual_de_5_velocidades
