kind,lang,source_token,source_query_text,mt_nllb,mt_madlad,mt_salamandra,vote_threshold,sim_nllb_madlad,sim_nllb_salamandra,sim_madlad_salamandra,agree_nllb_madlad,agree_nllb_salamandra,agree_madlad_salamandra,mt_voted,final_text,final_source,processed_at,cos_en_nllb,cos_en_madlad,cos_en_salamandra,gte_winner,lang_nllb,lang_madlad,lang_salamandra,output_token
relation,eu,academicStaffSize,academic Staff Size,akademikoa Langile kopurua,Pertsonal akademikoaren tamaina,Langile akademikoen kopurua,0.9,0.4912,0.6792,0.5172,0,0,0,akademikoa Langile kopurua,akademikoa Langile kopurua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.838900089263916,0.7237824201583862,0.8364641070365906,nllb,rw,eu,eu,AkademikoaLangileKopurua
relation,eu,activeYearsEndDate,active Years End Date,Urte aktiboak Amaiera,active Years End Date,Urte aktiboen amaiera data,0.9,0.0,0.8085,0.0,0,0,0,Urte aktiboen amaiera data,Urte aktiboen amaiera data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7007170915603638,,0.7886916995048523,salamandra,fr,en,eu,UrteAktiboenAmaieraData
relation,eu,activeYearsEndYear,active Years End Year,Urte aktiboak Urte bukaera,active Years End Year,Urte aktiboaren amaiera urtea,0.9,0.0,0.6545,0.0,0,0,0,Urte aktiboak Urte bukaera,Urte aktiboak Urte bukaera,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8069450855255127,,0.8000662922859192,nllb,nn,en,eu,UrteAktiboakUrteBukaera
relation,eu,activeYearsStartDate,active Years Start Date,Urte aktiboak Hasierako data,active Years Start Date,Urte aktiboak Hasiera Data,0.9,0.0,0.963,0.0,0,1,0,Urte aktiboak Hasierako data,Urte aktiboak Hasierako data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7619163990020752,,0.755266010761261,nllb,eo,en,eu,UrteAktiboakHasierakoData
relation,eu,activeYearsStartYear,active Years Start Year,Urte aktiboak Hasiera urtea,active Years Hasierako urtea,Urte aktiboak Hasiera Urtea,0.9,0.6545,1.0,0.6545,0,1,0,Urte aktiboak Hasiera Urtea,Urte aktiboak Hasiera Urtea,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7350966334342957,0.9168073534965516,0.745067834854126,salamandra,eu,de,eu,UrteAktiboakHasieraUrtea
relation,eu,addedToTheNationalRegisterOfHistoricPlaces,added To The National Register Of Historic Places,Leku historikoen erregistro nazionalera gehitu da.,The National Register of Historic Places webgunean,toki historikoen erregistro nazionalera gehitu zen,0.9,0.0,0.88,0.0,0,0,0,toki historikoen erregistro nazionalera gehitu zen,toki historikoen erregistro nazionalera gehitu zen,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6295324563980103,,0.6715148091316223,salamandra,eu,en,eu,TokiHistorikoenErregistroNazionaleraGehituZen
relation,eu,address,address,helbidea,helbide elektronikoa,helbidea,0.9,0.0,0.0,0.0,0,0,0,helbide elektronikoa,helbide elektronikoa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,0.5282044410705566,,madlad,en,es,en,HelbideElektronikoa
relation,eu,administrativeArrondissement,administrative Arrondissement,administratiboa Arrondissement,Arrondissement administratiboa,Arrondissement administratiboa,0.9,0.5,0.5,1.0,0,0,1,Arrondissement administratiboa,Arrondissement administratiboa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.9631006717681884,0.9513118267059326,0.9513118267059326,madlad,eu,fr,fr,ArrondissementAdministratiboa
relation,eu,affiliation,affiliation,atxikimendua,afiliazioa,afiliazioa,0.9,0.3636,0.3636,1.0,0,0,1,afiliazioa,afiliazioa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6763994693756104,0.8419957756996155,0.8419957756996155,madlad,et,it,it,Afiliazioa
relation,eu,aircraftFighter,aircraft Fighter,Hegazkinak.,hegazkin borrokalaria,Fighter hegazkinak,0.9,0.0,0.0,0.4615,0,0,0,Fighter hegazkinak,Fighter hegazkinak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,0.713447630405426,0.8247857689857483,salamandra,en,ht,nl,FighterHegazkinak
relation,eu,aircraftHelicopter,aircraft Helicopter,Helikoptero bat.,Hegazkina Helikopteroa,Helikoptero hegazkin,0.9,0.0,0.7222,0.0,0,0,0,Helikoptero hegazkin,Helikoptero hegazkin,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7941756248474121,,0.8415197134017944,salamandra,eu,en,es,HelikopteroHegazkin
relation,eu,album,album,diskoa.,albuma,album,0.9,0.0,0.0,0.0,0,0,0,albuma,albuma,mt_vote,2026-03-05T14:09:08,,,,,en,en,en,Albuma
relation,eu,almaMater,alma Mater,Ikastetxea.,Alma Mater,alma Mater,0.9,0.0,0.0,0.0,0,0,0,alma Mater,alma Mater,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,,1.0,salamandra,en,en,hu,AlmaMater
relation,eu,alternativeName,alternative Name,Alternatiboa Izena,Izen alternatiboa,alternative Name,0.9,0.6857,0.0,0.0,0,0,0,Alternatiboa Izena,Alternatiboa Izena,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8667953014373779,0.8258088231086731,,nllb,eu,eu,en,AlternatiboaIzena
relation,eu,anthem,anthem,abesti bat.,ereserkia,anthem,0.9,0.4,0.0,0.0,0,0,0,abesti bat.,abesti bat.,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5722692608833313,0.4933574795722961,,nllb,eu,lt,en,AbestiBat.
relation,eu,apoapsis,apoapsis,Apopsia bat da.,apoapsis,apoapsis,0.9,0.0,0.0,0.0,0,0,0,Apopsia bat da.,Apopsia bat da.,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.748173177242279,,,nllb,id,en,en,ApopsiaBatDa.
relation,eu,architect,architect,Arkitektoa,arkitektoa,arkitektoa,0.9,1.0,1.0,1.0,1,1,1,Arkitektoa,Arkitektoa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7423863410949707,0.7211496829986572,0.7211496829986572,nllb,ro,ro,ro,Arkitektoa
relation,eu,architecturalStyle,architectural Style,Arkitektura estiloa,Estilo arkitektonikoa,estilo arkitektonikoa,0.9,0.55,0.55,1.0,0,0,1,estilo arkitektonikoa,estilo arkitektonikoa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8898345232009888,0.8883442282676697,0.9087059497833252,salamandra,es,eo,sl,EstiloArkitektonikoa
relation,eu,architecture,architecture,Arkitektura,arkitektura,arkitektura,0.9,0.0,0.0,0.0,0,0,0,Arkitektura,Arkitektura,mt_vote,2026-03-05T14:09:10,,,,,en,en,en,Arkitektura
relation,eu,areaCode,area Code,Eremuaren kodea,area kodea,Area Kodea,0.9,0.0,0.0,0.0,0,0,0,Eremuaren kodea,Eremuaren kodea,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6818380355834961,,,nllb,eu,en,en,EremuarenKodea
relation,eu,areaMetro,area Metro,Eremu metropolitanoa,Metroaren eremua,area Metro,0.9,0.0,0.0,0.0,0,0,0,Metroaren eremua,Metroaren eremua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,0.8373445868492126,,madlad,en,eu,en,MetroarenEremua
relation,eu,areaOfLand,area Of Land,Lurraldearen azalera,area Of Land,Lur-eremua,0.9,0.0,0.4667,0.0,0,0,0,Lurraldearen azalera,Lurraldearen azalera,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6109841465950012,,0.5941060781478882,nllb,eu,en,pt,LurraldearenAzalera
relation,eu,areaOfWater,area Of Water,Uraren eremua,Uraren area,Uraren eremua,0.9,0.8333,1.0,0.8333,0,1,0,Uraren eremua,Uraren eremua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7293949127197266,0.6037073135375977,0.7293949127197266,nllb,eu,eu,eu,UrarenEremua
relation,eu,areaTotal,area Total,Lurralde osoa,area guztira,area Guztira,0.9,0.24,0.24,1.0,0,0,1,area Guztira,area Guztira,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6197930574417114,0.7103601098060608,0.759789228439331,salamandra,eu,de,de,AreaGuztira
relation,eu,areaUrban,area Urban,Hiri eremua,Hiri-eremua,area Urban,0.9,0.9091,0.0,0.0,1,0,0,Hiri eremua,Hiri eremua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7606080174446106,0.5604901313781738,,nllb,eu,pt,en,HiriEremua
relation,eu,artist,artist,artistak,artista,artista,0.9,0.0,0.0,0.0,0,0,0,artista,artista,mt_vote,2026-03-05T14:09:12,,,,,en,en,en,Artista
relation,eu,assembly,assembly,biltzarra,muntaia,assemblage,0.9,0.0,0.3158,0.0,0,0,0,assemblage,assemblage,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5360084772109985,,0.8375130295753479,salamandra,eu,en,fr,Assemblage
relation,eu,associatedBand/associatedMusicalArtist,associated Band/associated Musical Artist,Talde-taldea/artista musikaria,associated Band/associated Musical Artist,Band elkartua/Musika-artista elkartua,0.9,0.0,0.0,0.0,0,0,0,Talde-taldea/artista musikaria,Talde-taldea/artista musikaria,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6222946643829346,,,nllb,eu,en,en,Talde-taldea/artistaMusikaria
relation,eu,associatedRocket,associated Rocket,lotutako Rocket,erlazionatutako Rocket,asoziatutako Rocket,0.9,0.0,0.0,0.8293,0,0,0,asoziatutako Rocket,asoziatutako Rocket,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,0.84027099609375,0.8506386280059814,salamandra,en,it,pl,AsoziatutakoRocket
relation,eu,attackAircraft,attack Aircraft,Eraso hegazkinak,Eraso hegazkinak,eraso hegazkinak,0.9,0.0,0.0,0.0,0,0,0,eraso hegazkinak,eraso hegazkinak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,,,0.730665922164917,salamandra,en,en,es,ErasoHegazkinak
relation,eu,author,author,egileak,egilea,Egilea,0.9,0.0,0.0,0.0,0,0,0,egilea,egilea,mt_vote,2026-03-05T14:09:14,,,,,en,en,en,Egilea
relation,eu,averageSpeed,average Speed,Batezbesteko abiadura,batez besteko abiadura,Batez besteko abiadura,0.9,0.9767,0.9767,1.0,1,1,1,batez besteko abiadura,batez besteko abiadura,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.4457587003707886,0.4826782941818237,0.4404418170452118,madlad,eu,eu,eu,BatezBestekoAbiadura
relation,eu,award,award,saria,saria,saria,0.9,0.0,0.0,0.0,0,0,0,saria,saria,mt_vote,2026-03-05T14:09:14,,,,,en,en,en,Saria
relation,eu,awards,awards,sariak,sariak,sariak,0.9,0.0,0.0,0.0,0,0,0,sariak,sariak,mt_vote,2026-03-05T14:09:14,,,,,en,en,en,Sariak
relation,eu,background,background,Oinarrizko informazioa,atzeko planoa,background,0.9,0.4571,0.0,0.0,0,0,0,Oinarrizko informazioa,Oinarrizko informazioa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5678279399871826,0.5290006995201111,,nllb,it,eu,en,OinarrizkoInformazioa
relation,eu,backupPilot,backup Pilot,Laguntza pilotuak.,Pilot-en babeskopia,backup Pilot,0.9,0.3784,0.5333,0.3226,0,0,0,backup Pilot,backup Pilot,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7607473731040955,0.8068984746932983,1.0000001192092896,salamandra,eu,eu,ro,BackupPilot
relation,eu,bandMember,band Member,taldeko kidea,bandako kidea,band Member,0.9,0.7692,0.0,0.0,0,0,0,bandako kidea,bandako kidea,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7755361199378967,0.7860602140426636,,madlad,eu,et,en,BandakoKidea
relation,eu,battle,battle,borroka,gudua,bataila,0.9,0.0,0.0,0.0,0,0,0,borroka,borroka,mt_vote,2026-03-05T14:09:16,,,,,en,en,en,Borroka
relation,eu,bedCount,bed Count,Ohearen zenbakia.,ohe-kopurua,ohe kopurua,0.9,0.2857,0.0,0.0,0,0,0,ohe-kopurua,ohe-kopurua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.4927863478660583,0.5704553723335266,,madlad,eu,rw,en,Ohe-kopurua
relation,eu,bird,bird,txoria,txoria,bird,0.9,0.0,0.0,0.0,0,0,0,txoria,txoria,mt_vote,2026-03-05T14:09:16,,,,,en,en,en,Txoria
relation,eu,birthDate,birth Date,Jaiotze eguna,jaiotze-data,jaiotze data,0.9,0.64,0.72,0.9167,0,0,1,jaiotze data,jaiotze data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6062133312225342,0.5658939480781555,0.5777704119682312,salamandra,eu,eu,eu,JaiotzeData
relation,eu,birthName,birth Name,Jaiotze-izena,jaiotza-izena,jaiotza-izena,0.9,0.9231,0.9231,1.0,1,1,1,jaiotza-izena,jaiotza-izena,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.4636630713939667,0.5222146511077881,0.5222146511077881,madlad,eu,eu,eu,Jaiotza-izena
relation,eu,birthPlace,birth Place,Jaiotze-lekua,jaiotze lekua,jaiotza Lekua,0.9,0.9231,0.8462,0.9231,1,0,1,jaiotze lekua,jaiotze lekua,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6391975283622742,0.663468599319458,0.5210437774658203,madlad,eu,eu,eu,JaiotzeLekua
relation,eu,birthYear,birth Year,Jaiotza urtea,jaiotze-urtea,jaiotza-urtea,0.9,0.8462,0.9231,0.9231,0,1,1,Jaiotza urtea,Jaiotza urtea,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7355381846427917,0.4510380625724792,0.4996515214443207,nllb,eu,eu,eu,JaiotzaUrtea
relation,eu,bodyStyle,body Style,Gorputzaren estiloa,gorputz-estiloa,body Style,0.9,0.8235,0.0,0.0,0,0,0,Gorputzaren estiloa,Gorputzaren estiloa,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8156223297119141,0.6675252914428711,,nllb,eu,eu,en,GorputzarenEstiloa
relation,eu,broadcastedBy,broadcasted By,Eusko Jaurlaritzaren laguntzarekin egindako azpitituluak,igorri duena,Broadcasted By,0.9,0.2059,0.0,0.0,0,0,0,Eusko Jaurlaritzaren laguntzarekin egindako azpitituluak,Eusko Jaurlaritzaren laguntzarekin egindako azpitituluak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5333929061889648,0.5116768479347229,,nllb,eu,it,en,EuskoJaurlaritzarenLaguntzarekinEgindakoAzpitituluak
relation,eu,budget,budget,Aurrekontua,aurrekontua,aurrekontu,0.9,0.0,0.0,0.0,0,0,0,Aurrekontua,Aurrekontua,mt_vote,2026-03-05T14:09:19,,,,,en,en,en,Aurrekontua
relation,eu,buildDate,build Date,Eraikitzeko data.,eraikitze-data,build Date,0.9,0.8387,0.0,0.0,0,0,0,eraikitze-data,eraikitze-data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5984115600585938,0.6269817352294922,,madlad,eu,eu,en,Eraikitze-data
relation,eu,builder,builder,eraikitzailea.,eraikitzailea,eraikitzailea,0.9,0.963,0.963,1.0,1,1,1,eraikitzailea.,eraikitzailea.,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7273582220077515,0.6971107125282288,0.6971107125282288,nllb,eu,eu,eu,Eraikitzailea.
relation,eu,buildingStartDate,building Start Date,Eraikinaren hasiera data,eraikuntzaren hasierako data,Eraikuntzaren hasiera-data,0.9,0.8846,0.88,0.9259,0,0,1,eraikuntzaren hasierako data,eraikuntzaren hasierako data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.781309187412262,0.7307687997817993,0.6831844449043274,madlad,eu,eu,eu,EraikuntzarenHasierakoData
relation,eu,buildingType,building Type,Eraikin mota,eraikin mota,eraikin mota,0.9,1.0,1.0,1.0,1,1,1,eraikin mota,eraikin mota,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.4946654438972473,0.6723160147666931,0.6723160147666931,madlad,fi,fi,fi,EraikinMota
relation,eu,campus,campus,Unibertsitatean.,campusa,campus,0.9,0.0,0.0,0.0,0,0,0,Unibertsitatean.,Unibertsitatean.,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.7391245365142822,,,nllb,et,en,en,Unibertsitatean.
relation,eu,capital,capital,Kapitala,hiriburua,kapitala,0.9,0.0,0.0,0.0,0,0,0,Kapitala,Kapitala,mt_vote,2026-03-05T14:09:21,,,,,en,en,en,Kapitala
relation,eu,carbohydrate,carbohydrate,Karbohidratoak,karbohidratoa,karbohidrato,0.9,0.963,0.9231,0.96,1,1,1,Karbohidratoak,Karbohidratoak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8632885217666626,0.7880719304084778,0.821569561958313,nllb,ro,ro,lt,Karbohidratoak
relation,eu,category,category,kategoria,kategoria,kategoria,0.9,0.0,0.0,0.0,0,0,0,kategoria,kategoria,mt_vote,2026-03-05T14:09:21,,,,,en,en,en,Kategoria
relation,eu,ceremonialCounty,ceremonial County,Eskualde zeremoniala,Konderria,zeremonia-konderria,0.9,0.4138,0.5128,0.6429,0,0,0,Eskualde zeremoniala,Eskualde zeremoniala,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6041766405105591,0.5086105465888977,0.4967589378356933,nllb,eu,nl,eu,EskualdeZeremoniala
relation,eu,certification,certification,ziurtagiria,ziurtagiria,ziurtagiria,0.9,0.0,0.0,0.0,0,0,0,ziurtagiria,ziurtagiria,mt_vote,2026-03-05T14:09:22,,,,,en,en,en,Ziurtagiria
relation,eu,chairman,chairman,lehendakaria,presidentea,chairman,0.9,0.0,0.2,0.0,0,0,0,chairman,chairman,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5889445543289185,,1.0,salamandra,eu,en,fr,Chairman
relation,eu,chairmanTitle,chairman Title,Lehendakaria Titulua,Izenburua,chairman Title,0.9,0.3448,0.4118,0.1739,0,0,0,chairman Title,chairman Title,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6983400583267212,0.6297845840454102,1.0,salamandra,eu,eu,fr,ChairmanTitle
relation,eu,chairperson,chairperson,lehendakaria,lehendakaria,chairperson,0.9,1.0,0.1739,0.1739,1,0,0,lehendakaria,lehendakaria,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6087244749069214,0.6087244749069214,1.0,nllb,eu,eu,fr,Lehendakaria
relation,eu,champions,champions,Txapeldunak.,txapeldunak,txapeldunak,0.9,0.9565,0.9565,1.0,1,1,1,txapeldunak,txapeldunak,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5857117176055908,0.7644474506378174,0.7644474506378174,madlad,eu,eu,eu,Txapeldunak
relation,eu,chancellor,chancellor,Kantzilerra.,kantzilerra,kantzilerra,0.9,0.9565,0.9565,1.0,1,1,1,Kantzilerra.,Kantzilerra.,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.70909583568573,0.6863821744918823,0.6863821744918823,nllb,de,de,de,Kantzilerra.
relation,eu,chief,chief,Nagusia.,buruzagia,buruzagia,0.9,0.0,0.0,0.0,0,0,0,buruzagia,buruzagia,mt_vote,2026-03-05T14:09:23,,,,,en,en,en,Buruzagia
relation,eu,child,child,haurra,umea,haurra,0.9,0.0,1.0,0.0,0,1,0,haurra,haurra,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.6592432260513306,,0.6592432260513306,nllb,de,en,de,Haurra
relation,eu,christeningDate,christening Date,bataiatzeko data,baptising Date,kristautzearen data,0.9,0.0,0.5714,0.0,0,0,0,kristautzearen data,kristautzearen data,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5591787099838257,,0.7288661599159241,salamandra,eu,en,eu,KristautzearenData
relation,eu,cinematography,cinematography,zinematografia,zinematografia,zinematografia,0.9,0.0,0.0,0.0,0,0,0,zinematografia,zinematografia,mt_vote,2026-03-05T14:09:24,,,,,en,en,en,Zinematografia
relation,eu,citizenship,citizenship,Herritartasuna,herritartasuna,herritartasuna,0.9,1.0,1.0,1.0,1,1,1,Herritartasuna,Herritartasuna,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.8023796081542969,0.6731399297714233,0.6731399297714233,nllb,eu,eu,eu,Herritartasuna
relation,eu,city,city,hiria,hiria,Hiri,0.9,0.0,0.0,0.0,0,0,0,hiria,hiria,mt_vote,2026-03-05T14:09:25,,,,,en,en,en,Hiria
relation,eu,cityServed,city Served,Hiria zerbitzatua,Zerbitzatu den hiria,Zerbitzatutako hiria,0.9,0.5946,0.5946,0.8,0,0,0,Zerbitzatutako hiria,Zerbitzatutako hiria,mt_vote_revoted_gte_langfilter,2026-03-09T10:19:32,0.5293598175048828,0.6134223937988281,0.7289962768554688,salamandra,eu,eu,eu,ZerbitzatutakoHiria
